center_code,total_candidates,dominant_organ,n_organs,center_type,optn_region,center_name,city,state,zip,country,lon,lat,location_source
MNCM,45,Heart,1,TX1,7,Children's Minnesota,Minneapolis,MN,55404,USA,-93.25630786483987,44.963558000000006,zip_zcta
MNHC,1701,Kidney,1,TX1,7,Hennepin County Medical Center,Minneapolis,MN,55415,USA,-93.25816463824373,44.9742535,zip_zcta
MNMC,10709,Kidney,4,TX1,7,Mayo Clinic Hospital Minnesota,Rochester,MN,55902,USA,-92.51361502100556,43.96266,zip_zcta
MNUM,8660,Kidney,4,TX1,7,"University of Minnesota Medical Center, Fairview",Minneapolis,MN,55454,USA,-93.24636642111932,44.9726845,zip_zcta
MOBH,11139,Kidney,4,TX1,8,Barnes-Jewish Hospital,St. Louis,MO,63110,USA,-90.26222164152821,38.6248335,zip_zcta
MOCG,213,Kidney,3,TX1,8,Cardinal Glennon Children's Hospital,St. Louis,MO,63104,USA,-90.21223682791668,38.607637499999996,zip_zcta
MOCH,1221,Heart,4,TX1,8,St. Louis Children's Hospital at Washington University Medical Center,St. Louis,MO,63110,USA,-90.26222164152821,38.6248335,zip_zcta
MOCM,560,Kidney,3,TX1,8,Children's Mercy Hospital,Kansas City,MO,64108,USA,-94.58434238608109,39.08397150488625,zip_zcta
MOLH,2988,Kidney,3,TX1,8,St Luke's Hospital of Kansas City,Kansas City,MO,64111,USA,-94.59414246581522,39.055869691576746,zip_zcta
MORH,1780,Kidney,1,TX1,8,Research Medical Center,Kansas City,MO,64132,USA,-94.54361981752432,38.9842565,zip_zcta
MOSL,2888,Kidney,3,TX1,8,SSM Health Saint Louis University Hospital,St. Louis,MO,63104,USA,-90.21223682791668,38.607637499999996,zip_zcta
MOUM,738,Kidney,1,TX1,8,University of Missouri Hospital and Clinics,Columbia,MO,65201,USA,-92.23997759133144,38.885624,zip_zcta
MSUM,4651,Kidney,3,TX1,3,University of Mississippi Medical Center,Jackson,MS,39216,USA,-90.16310118361032,32.336241,zip_zcta
NCBG,5454,Kidney,2,TX1,11,Wake Forest Baptist Medical Center,Winston-Salem,NC,27157,USA,-80.26,36.1,city_state
NCCM,7176,Kidney,3,TX1,11,Carolinas Medical Center,Charlotte,NC,28203,USA,-80.85848920250663,35.208923,zip_zcta
NCDU,10730,Kidney,4,TX1,11,Duke University Hospital,Durham,NC,27710,USA,-78.91,35.98,city_state
NCEC,2692,Kidney,1,TX1,11,ECU Health Medical Center,Greenville,NC,27834,USA,-77.43305481028347,35.6705985,zip_zcta
NCMH,6186,Kidney,4,TX1,11,University of North Carolina Hospitals,Chapel Hill,NC,27514,USA,-79.0389833289087,35.96804,zip_zcta
NDMC,536,Kidney,1,TX1,7,Sanford Bismarck Medical Center,Bismarck,ND,58501,USA,-100.71525562645063,46.81607150000001,zip_zcta
NDSL,582,Kidney,1,TX1,7,Sanford Medical Center Fargo,Fargo,ND,58122,USA,-96.82,46.88,city_state
NEBM,6,Heart,1,TX1,8,BryanLGH Medical Center East,Lincoln,NE,68506,USA,-96.63942660256518,40.782135499999995,zip_zcta
NECH,51,Heart,1,TX1,8,Children’s Nebraska,Omaha,NE,68114,USA,-96.05007670749426,41.261468,zip_zcta
NEUN,6888,Kidney,4,TX1,8,The Nebraska Medical Center,Omaha,NE,68105,USA,-95.96412560633843,41.240508000000005,zip_zcta
NJBI,2323,Kidney,3,TX1,2,Newark Beth Israel Medical Center,Newark,NJ,07112,USA,-74.20899081928314,40.711193,zip_zcta
NJHK,2992,Kidney,1,TX1,2,Hackensack University Medical Center,Hackensack,NJ,07601,USA,-74.04942997486546,40.885666,zip_zcta
NJLL,2496,Kidney,2,TX1,2,Virtua Our Lady of Lourdes Hospital,Camden,NJ,08103,USA,-75.11136047926789,39.934133,zip_zcta
NJRW,3334,Kidney,2,TX1,2,Robert Wood Johnson University Hospital,New Brunswick,NJ,08901,USA,-74.44490972645981,40.4839595,zip_zcta
NJSB,9619,Kidney,1,TX1,2,Saint Barnabas Medical Center,Livingston,NJ,07039,USA,-74.32896672197094,40.786395,zip_zcta
NJUH,1404,Liver,2,TX1,2,University Hospital,Newark,NJ,07103,USA,-74.19665425575899,40.738675,zip_zcta
NMAQ,1281,Kidney,1,TX1,5,"University Hospital, University of New Mexico Health Sciences Center",Albuquerque,NM,87106,USA,-106.60988176128174,35.0267845,zip_zcta
NMPH,1397,Kidney,1,TX1,5,Presbyterian Hospital,Albuquerque,NM,87106,USA,-106.60988176128174,35.0267845,zip_zcta
NVHH,130,Kidney,1,TX1,5,Sunrise Hospital and Medical Center,Las Vegas,NV,89109,USA,-115.16996365092696,36.1182175,zip_zcta
NVUM,2219,Kidney,1,TX1,5,University Medical Center of Southern Nevada,Las Vegas,NV,89102,USA,-115.19251305308946,36.142298999999994,zip_zcta
NYAM,1701,Kidney,2,TX1,9,Albany Medical Center Hospital,Albany,NY,12208,USA,-73.80455464016589,42.653400000000005,zip_zcta
NYBU,546,Kidney,1,TX1,9,Buffalo General Hospital/ Children's Hospital,Buffalo,NY,14203,USA,-78.87550551226634,42.8662645,zip_zcta
NYCC,91,Kidney,1,TX1,9,Long Island Jewish Medical Center-Cohen Children's Medical Center,Queens,NY,11040,USA,-73.68057155031696,40.747297,zip_zcta
NYCP,12878,Kidney,4,TX1,9,NY Presbyterian Hospital/Columbia Univ. Medical Center,New York,NY,10032,USA,-73.94180329161004,40.8402175,zip_zcta
NYDS,1984,Kidney,1,TX1,9,"State University of New York, Downstate Medical Center",Brooklyn,NY,11203,USA,-73.93365335945718,40.649279,zip_zcta
NYEC,2494,Kidney,1,TX1,9,Erie County Medical Center,Buffalo,NY,14215,USA,-78.80702169473241,42.937912499999996,zip_zcta
NYFL,4963,Kidney,3,TX1,9,"Strong Memorial Hospital, University of Rochester Medical Center",Rochester,NY,14642,USA,-77.62538786818727,43.1223095,zip_zcta
NYMA,7216,Kidney,4,TX1,9,Montefiore Medical Center,Bronx,NY,10467,USA,-73.87185587161667,40.8762625,zip_zcta
NYMS,14430,Kidney,4,TX1,9,Mount Sinai Medical Center,New York,NY,10029,USA,-73.9489622139615,40.792026,zip_zcta
NYNS,3060,Kidney,4,TX1,9,North Shore University Hospital/Northwell Health,Manhasset,NY,11030,USA,-73.68900955022906,40.7940845,zip_zcta
NYNY,7963,Kidney,3,TX1,9,New York-Presbyterian Hospital/Weill Cornell Medical Center,New York,NY,10065,USA,-73.96191406280806,40.7643855,zip_zcta
NYSB,2029,Kidney,1,TX1,9,University Hospital of State University of New York at Stony Brook,Stony Brook,NY,11794,USA,-73.12487208378705,40.9192575,zip_zcta
NYSL,360,Kidney,1,TX1,9,St. Luke's Roosevelt Hospital Center,New York,NY,10025,USA,-73.9677942276555,40.7988205,zip_zcta
NYUC,6317,Kidney,4,TX1,9,NYU Langone Health,New York,NY,10016,USA,-73.97827673489513,40.7453875,zip_zcta
NYUM,2043,Kidney,1,TX1,9,State University of New York Upstate Medical University,Syracuse,NY,13210,USA,-76.12666527916284,43.030198999999996,zip_zcta
NYVA,291,Kidney,1,TX1,9,James J. Peters VA Medical Center,Bronx,NY,10468,USA,-73.89746851399532,40.869777,zip_zcta
NYWC,4370,Kidney,3,TX1,9,Westchester Medical Center,Valhalla,NY,10595,USA,-73.77416837508608,41.0915515,zip_zcta
OHAC,207,Kidney,1,TX1,10,Akron City Hospital,Akron,OH,44309,USA,-81.52,41.08,city_state
OHCC,13390,Kidney,4,TX1,10,The Cleveland Clinic Foundation,Cleveland,OH,44195,USA,-81.68,41.48,city_state
OHCH,381,Heart,4,TX1,10,Nationwide Children's Hospital,Columbus,OH,43205,USA,-82.96301850776143,39.959103,zip_zcta
OHCM,1207,Liver,4,TX1,11,Children's Hospital Medical Center,Cincinnati,OH,45229,USA,-84.48390204545848,39.155015500000005,zip_zcta
OHCO,2473,Kidney,1,TX1,10,University of Toledo Medical Center,Toledo,OH,43614,USA,-83.63597280943443,41.602000000000004,zip_zcta
OHMV,424,Kidney,1,TX1,10,Miami Valley Hospital,Dayton,OH,45409,USA,-84.19566087540628,39.7242425,zip_zcta
OHOU,9033,Kidney,4,TX1,10,Ohio State University Medical Center,Columbus,OH,43210,USA,-83.01981288529794,40.004479,zip_zcta
OHSE,2,Kidney,1,TX1,10,St. Elizabeth Health Center,Youngstown,OH,44501,USA,-80.65,41.1,city_state
OHTC,1419,Kidney,2,TX1,11,The Christ Hospital,Cincinnati,OH,45219,USA,-84.51741054330066,39.125859500000004,zip_zcta
OHUC,5220,Kidney,3,TX1,11,University of Cincinnati  Medical Center,Cincinnati,OH,45219,USA,-84.51741054330066,39.125859500000004,zip_zcta
OHUH,4383,Kidney,4,TX1,10,University Hospitals of Cleveland,Cleveland,OH,44106,USA,-81.6044260738998,41.5066325,zip_zcta
OKBC,5318,Kidney,4,TX1,4,Integris Baptist Medical Center,Oklahoma City,OK,73112,USA,-97.57438398604964,35.519427,zip_zcta
OKMD,1451,Kidney,2,TX1,4,OU Medical Center,Oklahoma City,OK,73104,USA,-97.50373150130767,35.474509,zip_zcta
OKSA,111,Kidney,1,TX1,4,St. Anthony Hospital,Oklahoma City,OK,73101,USA,-97.51,35.47,city_state
OKSF,577,Kidney,2,TX1,4,Saint Francis Hospital,Tulsa,OK,74136,USA,-95.94248381071998,36.064264,zip_zcta
OKSJ,1118,Kidney,1,TX1,4,St John Medical Center,Tulsa,OK,74104,USA,-95.95508230407061,36.1468665,zip_zcta
ORGS,1986,Kidney,1,TX1,6,Legacy Good Samaritan Hospital and Medical Center,Portland,OR,97210,USA,-122.7265183843495,45.5512285,zip_zcta
ORPM,17,Heart,1,TX1,6,Providence Portland Medical Center,Portland,OR,97213,USA,-122.59944309860866,45.5377745,zip_zcta
ORSV,88,Heart,1,TX1,6,Providence St. Vincent Medical Center,Portland,OR,97225,USA,-122.76543651962342,45.4980415,zip_zcta
ORUO,4426,Kidney,3,TX1,6,Oregon Health and Science University,Portland,OR,97239,USA,-122.69080215012937,45.488126,zip_zcta
ORVA,2123,Kidney,2,TX1,6,VA Portland Health Care System,Portland,OR,97239,USA,-122.69080215012937,45.488126,zip_zcta
PAAE,6034,Kidney,2,TX1,2,Albert Einstein Medical Center,Philadelphia,PA,19141,USA,-75.14518419094885,40.037889500000006,zip_zcta
PAAG,3770,Kidney,4,TX1,2,Allegheny General Hospital,Pittsburgh,PA,15212,USA,-79.98858771901706,40.4702775,zip_zcta
PACC,403,Kidney,1,TX1,2,Crozer-Chester Medical Center,Upland,PA,19013,USA,-75.37674079718047,39.8447058977125,zip_zcta
PACH,1434,Liver,4,TX1,2,UPMC Children's Hospital of Pittsburgh,Pittsburgh,PA,15224,USA,-79.9439038920624,40.466536000000005,zip_zcta
PACP,1273,Kidney,4,TX1,2,Children's Hospital of Philadelphia,Philadelphia,PA,19104,USA,-75.19674355565158,39.959216,zip_zcta
PAGM,2428,Kidney,2,TX1,2,Geisinger Medical Center,Danville,PA,17822,USA,-76.60161826528528,40.9696725,zip_zcta
PAHE,2661,Kidney,3,TX1,2,Penn State Milton S Hershey Medical Center,Hershey,PA,17033,USA,-76.64566965859322,40.267279,zip_zcta
PAHH,2100,Kidney,1,TX1,2,Pinnacle Health System at Harrisburg Hospital,Harrisburg,PA,17101,USA,-76.89047548246167,40.2592465,zip_zcta
PAHM,2227,Kidney,3,TX1,2,Hahnemann University Hospital,Philadelphia,PA,19102,USA,-75.16601976737388,39.952819500000004,zip_zcta
PALH,859,Kidney,2,TX1,2,The Lankenau Hospital,Wynnewood,PA,19096,USA,-75.27517135999123,40.0000835,zip_zcta
PALV,2504,Kidney,1,TX1,2,Lehigh Valley Hospital,Allentown,PA,18103,USA,-75.48421981819945,40.57306,zip_zcta
PAPH,296,Kidney,1,TX1,2,UPMC Hamot,Erie,PA,16550,USA,-80.0849486732896,42.133774,zip_zcta
PAPT,11727,Kidney,4,TX1,2,University of Pittsburgh Medical Center,Pittsburgh,PA,15213,USA,-79.96501608916371,40.4441505,zip_zcta
PARH,171,Kidney,2,TX1,2,Reading Hospital,Reading,PA,19611,USA,-75.94562682035709,40.326248500000005,zip_zcta
PASC,47,Kidney,2,TX1,2,St. Christopher's Hospital for Children,Philadelphia,PA,19134,USA,-75.10547439099217,39.988038,zip_zcta
PATJ,5889,Kidney,3,TX1,2,Thomas Jefferson University Hospital,Philadelphia,PA,19107,USA,-75.15902539313919,39.9519545,zip_zcta
PATU,4543,Kidney,4,TX1,2,Temple University Hospital,Philadelphia,PA,19140,USA,-75.14564752347584,40.012474,zip_zcta
PAUP,14353,Kidney,4,TX1,2,Hospital of the University of Pennsylvania,Philadelphia,PA,19104,USA,-75.19674355565158,39.959216,zip_zcta
PAVA,4224,Kidney,2,TX1,2,VA Pittsburgh Healthcare System,Pittsburgh,PA,15240,USA,-79.98,40.44,city_state
PAWV,420,Kidney,1,TX1,2,Geisinger Wyoming Valley Medical Ctr,Wilkes-Barre,PA,18711,USA,-75.88,41.25,city_state
RIRH,1613,Kidney,1,TX1,1,Rhode Island Hospital,Providence,RI,02903,USA,-71.40663168549263,41.817834500000004,zip_zcta
SCCH,101,Heart,2,TX1,11,MUSC Children's Hospital,Charleston,SC,29425,USA,-79.94851105912966,32.78509699999999,zip_zcta
SCLA,462,Kidney,1,TX1,11,MUSC Lancaster,Lancaster,SC,29720,USA,-80.6967053383978,34.761838,zip_zcta
SCMU,10309,Kidney,4,TX1,11,Medical University of South Carolina,Charleston,SC,29425,USA,-79.94851105912966,32.78509699999999,zip_zcta
SCPG,793,Kidney,1,TX1,11,Prisma Health Greenville Memorial Hospital,Greenville,SC,29605,USA,-82.38281862445581,34.7783525,zip_zcta
